cdr_id,caller_person_id,receiver_person_id,timestamp,duration_seconds,cell_location_id,call_type,caller_phone_id,receiver_phone_id
CDR000033,P0005,P0007,2026-06-22 07:24:36,354,LOC0002,voice,PH0005,PH0007
CDR000034,P0019,P0012,2026-06-23 00:47:13,112,LOC0006,voice,PH0019,PH0012
CDR000035,P0011,P0009,2026-06-23 08:43:19,172,LOC0007,voice,PH0011,PH0009
CDR000036,P0002,P0018,2026-06-23 09:51:40,0,LOC0002,sms,PH0002,PH0018
CDR000037,P0020,P0001,2026-06-25 11:21:26,222,LOC0001,voice,PH0020,PH0001
CDR000038,P0002,P0007,2026-06-25 11:39:04,204,LOC0002,voice,PH0002,PH0007
CDR000039,P0010,P0009,2026-06-25 19:18:50,39,LOC0008,voice,PH0010,PH0009
CDR000040,P0020,P0008,2026-06-26 12:25:43,0,LOC0001,sms,PH0020,PH0008
CDR000041,P0005,P0004,2026-06-27 04:37:46,24,LOC0002,voice,PH0005,PH0004
CDR000042,P0014,P0009,2026-06-27 08:21:02,0,LOC0006,sms,PH0014,PH0009
CDR000043,P0011,P0010,2026-06-28 07:27:54,41,LOC0007,voice,PH0011,PH0010
CDR000044,P0001,P0002,2026-06-29 05:58:40,216,LOC0005,voice,PH0001,PH0002
CDR000045,P0015,P0019,2026-06-29 07:58:30,69,LOC0004,voice,PH0015,PH0019
CDR000046,P0001,P0002,2026-06-29 08:02:37,0,LOC0001,sms,PH0001,PH0002
CDR000047,P0020,P0004,2026-06-29 13:39:14,69,LOC0001,voice,PH0020,PH0004
CDR000048,P0013,P0009,2026-06-29 14:13:19,0,LOC0008,sms,PH0013,PH0009
CDR000049,P0010,P0009,2026-06-29 18:53:06,0,LOC0008,sms,PH0010,PH0009
CDR000050,P0003,P0001,2026-06-30 10:20:05,0,LOC0001,sms,PH0003,PH0001
CDR000051,P0006,P0008,2026-06-30 10:55:54,257,LOC0005,voice,PH0006,PH0008
CDR000052,P0009,P0011,2026-07-03 09:16:03,59,LOC0002,voice,PH0009,PH0011
CDR000053,P0006,P0001,2026-07-03 12:27:37,0,LOC0005,sms,PH0006,PH0001
CDR000054,P0010,P0013,2026-07-03 15:31:29,99,LOC0008,voice,PH0010,PH0013
CDR000055,P0007,P0005,2026-07-03 22:25:46,42,LOC0003,voice,PH0007,PH0005
CDR000056,P0001,P0004,2026-07-04 11:46:22,503,LOC0001,voice,PH0001,PH0004
CDR000057,P0019,P0012,2026-07-04 14:44:16,0,LOC0006,sms,PH0019,PH0012
CDR000058,P0008,P0020,2026-07-05 08:41:55,96,LOC0006,voice,PH0008,PH0020
CDR000059,P0002,P0001,2026-07-06 06:00:04,163,LOC0007,voice,PH0002,PH0001
CDR000060,P0001,P0007,2026-07-06 18:31:59,64,LOC0003,voice,PH0001,PH0007
CDR000061,P0011,P0012,2026-07-06 21:37:29,70,LOC0007,voice,PH0011,PH0012
CDR000062,P0009,P0010,2026-07-07 12:53:55,139,LOC0007,voice,PH0009,PH0010
CDR000063,P0008,P0001,2026-07-08 18:06:07,64,LOC0006,voice,PH0008,PH0001
CDR000064,P0012,P0014,2026-07-10 02:42:05,23,LOC0002,voice,PH0012,PH0014
CDR000065,P0005,P0006,2026-07-10 07:31:38,51,LOC0002,voice,PH0005,PH0006
CDR000066,P0001,P0004,2026-07-10 08:47:33,0,LOC0001,sms,PH0001,PH0004
CDR000067,P0002,P0005,2026-07-10 15:41:50,85,LOC0002,voice,PH0002,PH0005
CDR000068,P0002,P0001,2026-07-11 21:04:16,0,LOC0002,sms,PH0002,PH0001
CDR000069,P0004,P0001,2026-07-15 00:30:47,105,LOC0004,voice,PH0004,PH0001
CDR000070,P0006,P0016,2026-07-15 06:44:13,102,LOC0002,voice,PH0006,PH0016
CDR000071,P0005,P0010,2026-07-15 17:54:08,0,LOC0002,sms,PH0021,PH0010
CDR000072,P0004,P0020,2026-07-16 17:15:41,296,LOC0002,voice,PH0004,PH0020
CDR000073,P0005,P0006,2026-07-16 20:46:39,56,LOC0002,voice,PH0005,PH0006
CDR000074,P0010,P0009,2026-07-17 14:44:47,0,LOC0008,sms,PH0010,PH0009
CDR000075,P0004,P0006,2026-07-17 18:49:40,27,LOC0004,voice,PH0004,PH0006
CDR000076,P0020,P0001,2026-07-18 19:20:36,286,LOC0001,voice,PH0020,PH0001
CDR000077,P0009,P0010,2026-07-18 21:24:07,157,LOC0002,voice,PH0009,PH0010
CDR000078,P0009,P0005,2026-07-18 22:48:49,126,LOC0007,voice,PH0009,PH0021
CDR000079,P0014,P0009,2026-07-20 13:44:00,14,LOC0006,voice,PH0014,PH0009
CDR000080,P0002,P0020,2026-07-21 13:10:19,0,LOC0002,sms,PH0002,PH0020
CDR000081,P0004,P0005,2026-07-22 18:48:44,306,LOC0004,voice,PH0004,PH0005
CDR000082,P0011,P0012,2026-07-23 11:56:32,204,LOC0007,voice,PH0011,PH0012
CDR000083,P0004,P0007,2026-07-24 11:41:08,0,LOC0008,sms,PH0004,PH0007
CDR000084,P0019,P0012,2026-07-24 19:46:04,85,LOC0005,voice,PH0019,PH0012
CDR000085,P0013,P0009,2026-07-25 13:53:22,0,LOC0008,sms,PH0013,PH0009
CDR000086,P0007,P0019,2026-07-27 11:31:23,0,LOC0003,sms,PH0007,PH0019
CDR000087,P0005,P0004,2026-07-27 19:06:42,0,LOC0002,sms,PH0005,PH0004
CDR000088,P0020,P0006,2026-07-28 11:39:18,89,LOC0008,voice,PH0020,PH0006
CDR000089,P0009,P0013,2026-07-28 11:51:35,38,LOC0007,voice,PH0009,PH0013
CDR000090,P0001,P0004,2026-07-28 11:54:28,49,LOC0007,voice,PH0001,PH0004
CDR000091,P0004,P0007,2026-07-29 14:18:35,65,LOC0005,voice,PH0004,PH0007
CDR000092,P0002,P0020,2026-07-29 17:55:51,0,LOC0002,sms,PH0002,PH0020
CDR000093,P0005,P0002,2026-07-29 18:52:18,69,LOC0002,voice,PH0005,PH0002
CDR000094,P0001,P0020,2026-07-29 20:29:04,80,LOC0001,voice,PH0001,PH0020
CDR000095,P0006,P0008,2026-07-30 13:48:28,86,LOC0005,voice,PH0006,PH0008
CDR000096,P0010,P0009,2026-07-30 16:03:55,49,LOC0001,voice,PH0010,PH0009
CDR000097,P0002,P0004,2026-07-31 08:50:39,0,LOC0002,sms,PH0002,PH0004
CDR000098,P0009,P0014,2026-08-01 18:29:04,77,LOC0007,voice,PH0009,PH0014
CDR000099,P0006,P0007,2026-08-01 21:55:48,84,LOC0005,voice,PH0006,PH0007
CDR000100,P0005,P0012,2026-08-02 19:25:48,67,LOC0002,voice,PH0021,PH0012
CDR000101,P0001,P0002,2026-08-03 09:58:39,91,LOC0002,voice,PH0001,PH0002
CDR000102,P0004,P0001,2026-08-03 11:23:18,54,LOC0007,voice,PH0004,PH0001
CDR000103,P0002,P0018,2026-08-04 09:58:01,0,LOC0002,sms,PH0002,PH0018
CDR000104,P0002,P0001,2026-08-04 20:07:29,158,LOC0002,voice,PH0002,PH0001
CDR000105,P0009,P0005,2026-08-04 20:23:18,0,LOC0007,sms,PH0009,PH0021
CDR000106,P0016,P0018,2026-08-05 01:35:00,0,LOC0006,sms,PH0016,PH0018
CDR000107,P0002,P0006,2026-08-05 12:35:49,0,LOC0002,sms,PH0002,PH0006
CDR000108,P0017,P0015,2026-08-05 12:58:38,0,LOC0006,sms,PH0017,PH0015
CDR000109,P0020,P0004,2026-08-05 18:54:13,185,LOC0001,voice,PH0020,PH0004
CDR000110,P0001,P0004,2026-08-06 11:10:06,0,LOC0001,sms,PH0001,PH0004
CDR000111,P0001,P0007,2026-08-06 18:12:36,345,LOC0001,voice,PH0001,PH0007
CDR000112,P0002,P0005,2026-08-06 21:54:18,0,LOC0008,sms,PH0002,PH0005
CDR000113,P0009,P0005,2026-08-08 02:20:12,198,LOC0007,voice,PH0009,PH0021
CDR000114,P0019,P0007,2026-08-08 13:39:22,0,LOC0006,sms,PH0019,PH0007
CDR000115,P0014,P0011,2026-08-08 16:40:28,0,LOC0006,sms,PH0014,PH0011
CDR000116,P0008,P0004,2026-08-09 09:19:25,454,LOC0001,voice,PH0008,PH0004
CDR000117,P0010,P0011,2026-08-09 13:44:28,31,LOC0008,voice,PH0010,PH0011
CDR000118,P0001,P0004,2026-08-10 10:48:33,41,LOC0007,voice,PH0001,PH0004
CDR000119,P0004,P0008,2026-08-10 11:56:55,47,LOC0004,voice,PH0004,PH0008
CDR000120,P0004,P0001,2026-08-10 19:40:00,43,LOC0004,voice,PH0004,PH0001
CDR000121,P0007,P0003,2026-08-10 20:58:36,1443,LOC0003,voice,PH0007,PH0003
CDR000122,P0013,P0014,2026-08-11 00:47:01,0,LOC0008,sms,PH0013,PH0014
CDR000123,P0010,P0005,2026-08-11 08:39:47,160,LOC0001,voice,PH0010,PH0021
CDR000124,P0004,P0015,2026-08-11 13:48:11,186,LOC0004,voice,PH0004,PH0015
CDR000125,P0005,P0006,2026-08-11 19:34:41,0,LOC0002,sms,PH0005,PH0006
CDR000126,P0012,P0010,2026-08-12 08:56:55,25,LOC0002,voice,PH0012,PH0010
CDR000127,P0009,P0013,2026-08-12 16:35:28,0,LOC0001,sms,PH0009,PH0013
CDR000128,P0006,P0003,2026-08-12 16:58:25,35,LOC0005,voice,PH0006,PH0003
CDR000129,P0001,P0020,2026-08-13 10:22:16,24,LOC0001,voice,PH0001,PH0020
CDR000130,P0011,P0010,2026-08-13 10:40:04,22,LOC0007,voice,PH0011,PH0010
CDR000131,P0018,P0017,2026-08-13 11:58:00,0,LOC0002,sms,PH0018,PH0017
CDR000132,P0011,P0010,2026-08-13 21:52:12,0,LOC0007,sms,PH0011,PH0010
CDR000133,P0009,P0013,2026-08-14 14:16:22,145,LOC0007,voice,PH0009,PH0013
CDR000134,P0004,P0015,2026-08-14 22:27:11,74,LOC0004,voice,PH0004,PH0015
CDR000135,P0001,P0009,2026-08-15 20:18:00,210,LOC0008,voice,PH0001,PH0009
CDR000136,P0012,P0010,2026-08-15 21:51:20,20,LOC0006,voice,PH0012,PH0010
CDR000137,P0009,P0001,2026-08-16 09:40:00,145,LOC0007,voice,PH0009,PH0001
CDR000138,P0004,P0011,2026-08-16 10:12:00,120,LOC0004,voice,PH0004,PH0022
CDR000139,P0018,P0016,2026-08-16 19:41:20,0,LOC0005,sms,PH0018,PH0016
CDR000140,P0004,P0018,2026-08-17 11:15:00,95,LOC0004,voice,PH0004,PH0018
CDR000141,P0011,P0004,2026-08-17 13:31:00,88,LOC0007,voice,PH0022,PH0004
CDR000142,P0001,P0009,2026-08-17 17:05:00,0,LOC0001,sms,PH0001,PH0009
CDR000143,P0006,P0002,2026-08-17 23:49:42,84,LOC0003,voice,PH0006,PH0002
CDR000144,P0001,P0002,2026-08-18 00:26:52,14,LOC0002,voice,PH0001,PH0002
CDR000145,P0002,P0004,2026-08-18 01:21:02,0,LOC0006,sms,PH0002,PH0004
CDR000146,P0004,P0006,2026-08-18 02:34:47,174,LOC0004,voice,PH0004,PH0006
CDR000147,P0004,P0001,2026-08-18 09:55:07,45,LOC0004,voice,PH0004,PH0001
CDR000148,P0001,P0002,2026-08-18 13:37:45,109,LOC0001,voice,PH0001,PH0002
CDR000149,P0006,P0016,2026-08-18 13:40:35,0,LOC0002,sms,PH0006,PH0016
CDR000150,P0004,P0001,2026-08-18 14:45:13,0,LOC0004,sms,PH0004,PH0001
CDR000151,P0003,P0001,2026-08-18 15:20:00,240,LOC0006,voice,PH0003,PH0001
CDR000152,P0004,P0002,2026-08-18 17:34:17,176,LOC0004,voice,PH0004,PH0002
CDR000153,P0004,P0002,2026-08-18 18:11:36,114,LOC0004,voice,PH0004,PH0002
CDR000154,P0002,P0004,2026-08-18 18:28:02,203,LOC0002,voice,PH0002,PH0004
CDR000155,P0002,P0004,2026-08-18 18:44:12,472,LOC0002,voice,PH0002,PH0004
CDR000156,P0010,P0012,2026-08-18 19:06:47,0,LOC0004,sms,PH0010,PH0012
CDR000157,P0004,P0011,2026-08-18 22:47:00,275,LOC0004,voice,PH0004,PH0022
CDR000158,P0002,P0001,2026-08-18 23:57:57,17,LOC0001,voice,PH0002,PH0001
CDR000159,P0004,P0001,2026-08-19 02:09:16,347,LOC0004,voice,PH0004,PH0001
CDR000160,P0004,P0001,2026-08-19 02:12:00,0,LOC0005,sms,PH0004,PH0001
CDR000161,P0006,P0004,2026-08-19 02:40:44,220,LOC0007,voice,PH0006,PH0004
CDR000162,P0001,P0004,2026-08-19 06:19:04,0,LOC0001,sms,PH0001,PH0004
CDR000163,P0002,P0001,2026-08-19 06:35:45,0,LOC0002,sms,PH0002,PH0001
CDR000164,P0001,P0006,2026-08-19 06:46:36,80,LOC0001,voice,PH0001,PH0006
CDR000165,P0002,P0004,2026-08-19 08:26:33,0,LOC0002,sms,PH0002,PH0004
CDR000166,P0020,P0004,2026-08-19 10:42:00,185,LOC0004,voice,PH0020,PH0004
CDR000167,P0001,P0004,2026-08-19 13:22:09,29,LOC0001,voice,PH0001,PH0004
CDR000168,P0001,P0003,2026-08-19 14:03:38,0,LOC0004,sms,PH0001,PH0003
CDR000169,P0020,P0001,2026-08-19 14:33:21,0,LOC0001,sms,PH0020,PH0001
CDR000170,P0004,P0002,2026-08-19 14:49:48,0,LOC0001,sms,PH0004,PH0002
CDR000171,P0013,P0009,2026-08-19 15:15:36,199,LOC0008,voice,PH0013,PH0009
CDR000172,P0002,P0001,2026-08-19 16:06:54,0,LOC0008,sms,PH0002,PH0001
CDR000173,P0004,P0002,2026-08-19 16:44:54,68,LOC0004,voice,PH0004,PH0002
CDR000174,P0001,P0006,2026-08-19 17:03:13,0,LOC0001,sms,PH0001,PH0006
CDR000175,P0006,P0001,2026-08-19 18:09:25,54,LOC0005,voice,PH0006,PH0001
CDR000176,P0006,P0002,2026-08-19 18:30:16,189,LOC0005,voice,PH0006,PH0002
CDR000177,P0004,P0006,2026-08-19 18:55:53,230,LOC0004,voice,PH0004,PH0006
CDR000178,P0004,P0006,2026-08-19 19:08:02,0,LOC0002,sms,PH0004,PH0006
CDR000179,P0011,P0004,2026-08-19 19:20:00,190,LOC0007,voice,PH0022,PH0004
CDR000180,P0004,P0002,2026-08-19 19:48:53,260,LOC0004,voice,PH0004,PH0002
CDR000181,P0001,P0004,2026-08-19 20:24:19,68,LOC0001,voice,PH0001,PH0004
CDR000182,P0009,P0001,2026-08-19 21:55:00,330,LOC0004,voice,PH0009,PH0001
CDR000183,P0004,P0020,2026-08-19 22:15:00,96,LOC0004,voice,PH0004,PH0020
CDR000184,P0001,P0004,2026-08-19 23:07:02,902,LOC0001,voice,PH0001,PH0004
CDR000185,P0014,P0011,2026-08-20 11:23:22,55,LOC0006,voice,PH0014,PH0011
CDR000186,P0016,P0019,2026-08-20 12:28:56,0,LOC0005,sms,PH0016,PH0019
CDR000187,P0008,P0002,2026-08-20 15:45:45,340,LOC0001,voice,PH0008,PH0002
CDR000188,P0007,P0006,2026-08-21 12:15:23,0,LOC0004,sms,PH0007,PH0006
CDR000189,P0001,P0004,2026-08-21 19:25:35,134,LOC0001,voice,PH0001,PH0004
CDR000190,P0007,P0005,2026-08-22 09:05:59,78,LOC0003,voice,PH0007,PH0005
CDR000191,P0017,P0016,2026-08-22 15:43:28,63,LOC0004,voice,PH0017,PH0016
CDR000192,P0002,P0004,2026-08-24 18:48:19,43,LOC0002,voice,PH0002,PH0004
CDR000193,P0001,P0002,2026-08-25 20:39:25,228,LOC0001,voice,PH0001,PH0002
CDR000194,P0016,P0018,2026-08-26 14:22:25,187,LOC0005,voice,PH0016,PH0018
CDR000195,P0005,P0007,2026-08-29 16:07:49,89,LOC0002,voice,PH0005,PH0007
CDR000196,P0004,P0015,2026-08-29 19:30:46,75,LOC0004,voice,PH0004,PH0015
CDR000197,P0009,P0013,2026-08-30 08:24:22,0,LOC0007,sms,PH0009,PH0013
CDR000198,P0020,P0004,2026-08-31 18:46:37,455,LOC0001,voice,PH0020,PH0004
