relationship_id,source_entity_type,source_entity_id,relationship_type,target_entity_type,target_entity_id,timestamp,source_record_id
REL000086,person,P0011,ASSOCIATED_WITH_CASE,case,CASE0002,2026-07-05 08:30:00,FIR00006
REL000087,person,P0012,ASSOCIATED_WITH_CASE,case,CASE0002,2026-07-05 08:30:00,FIR00006
REL000088,person,P0008,COMMUNICATES_WITH,person,P0020,2026-07-05 08:41:55,CDR000058
REL000089,person,P0002,COMMUNICATES_WITH,person,P0001,2026-07-06 06:00:04,CDR000059
REL000090,person,P0001,COMMUNICATES_WITH,person,P0007,2026-07-06 18:31:59,CDR000060
REL000091,person,P0011,COMMUNICATES_WITH,person,P0012,2026-07-06 21:37:29,CDR000061
REL000092,person,P0009,COMMUNICATES_WITH,person,P0010,2026-07-07 12:53:55,CDR000062
REL000093,person,P0008,COMMUNICATES_WITH,person,P0001,2026-07-08 18:06:07,CDR000063
REL000094,person,P0012,COMMUNICATES_WITH,person,P0014,2026-07-10 02:42:05,CDR000064
REL000095,person,P0005,COMMUNICATES_WITH,person,P0006,2026-07-10 07:31:38,CDR000065
REL000096,person,P0001,COMMUNICATES_WITH,person,P0004,2026-07-10 08:47:33,CDR000066
REL000097,person,P0002,COMMUNICATES_WITH,person,P0005,2026-07-10 15:41:50,CDR000067
REL000098,person,P0002,COMMUNICATES_WITH,person,P0001,2026-07-11 21:04:16,CDR000068
REL000099,account,ACC00017,TRANSFERRED_TO,account,ACC00015,2026-07-14 20:09:27,TXN000016
REL000100,person,P0004,COMMUNICATES_WITH,person,P0001,2026-07-15 00:30:47,CDR000069
REL000101,person,P0006,COMMUNICATES_WITH,person,P0016,2026-07-15 06:44:13,CDR000070
REL000102,account,ACC00007,TRANSFERRED_TO,account,ACC00021,2026-07-15 10:30:22,TXN000017
REL000103,account,ACC00018,TRANSFERRED_TO,account,ACC00015,2026-07-15 16:15:09,TXN000018
REL000104,person,P0005,COMMUNICATES_WITH,person,P0010,2026-07-15 17:54:08,CDR000071
REL000105,person,P0019,APPEARS_AT,location,LOC0006,2026-07-16 11:21:22,SURV000014
REL000106,person,P0004,COMMUNICATES_WITH,person,P0020,2026-07-16 17:15:41,CDR000072
REL000107,person,P0005,COMMUNICATES_WITH,person,P0006,2026-07-16 20:46:39,CDR000073
REL000108,account,ACC00001,TRANSFERRED_TO,account,ACC00002,2026-07-17 04:34:43,TXN000019
REL000109,person,P0010,COMMUNICATES_WITH,person,P0009,2026-07-17 14:44:47,CDR000074
REL000110,person,P0004,COMMUNICATES_WITH,person,P0006,2026-07-17 18:49:40,CDR000075
REL000111,person,P0005,APPEARS_AT,location,LOC0001,2026-07-17 19:04:08,SURV000015
REL000112,person,P0019,APPEARS_AT,location,LOC0006,2026-07-18 14:01:31,SURV000016
REL000113,person,P0020,COMMUNICATES_WITH,person,P0001,2026-07-18 19:20:36,CDR000076
REL000114,person,P0009,COMMUNICATES_WITH,person,P0010,2026-07-18 21:24:07,CDR000077
REL000115,person,P0009,COMMUNICATES_WITH,person,P0005,2026-07-18 22:48:49,CDR000078
REL000116,account,ACC00009,TRANSFERRED_TO,account,ACC00021,2026-07-19 15:45:40,TXN000020
REL000117,person,P0014,COMMUNICATES_WITH,person,P0009,2026-07-20 13:44:00,CDR000079
REL000118,account,ACC00012,TRANSFERRED_TO,account,ACC00010,2026-07-21 00:36:28,TXN000021
REL000119,person,P0002,COMMUNICATES_WITH,person,P0020,2026-07-21 13:10:19,CDR000080
REL000120,person,P0004,COMMUNICATES_WITH,person,P0005,2026-07-22 18:48:44,CDR000081
REL000121,person,P0011,COMMUNICATES_WITH,person,P0012,2026-07-23 11:56:32,CDR000082
REL000122,account,ACC00017,TRANSFERRED_TO,account,ACC00016,2026-07-23 13:16:53,TXN000022
REL000123,person,P0004,COMMUNICATES_WITH,person,P0007,2026-07-24 11:41:08,CDR000083
REL000124,person,P0019,COMMUNICATES_WITH,person,P0012,2026-07-24 19:46:04,CDR000084
REL000125,account,ACC00012,TRANSFERRED_TO,account,ACC00013,2026-07-25 13:10:04,TXN000023
REL000126,person,P0013,COMMUNICATES_WITH,person,P0009,2026-07-25 13:53:22,CDR000085
REL000127,account,ACC00017,TRANSFERRED_TO,account,ACC00015,2026-07-25 16:02:51,TXN000024
REL000128,account,ACC00013,TRANSFERRED_TO,account,ACC00012,2026-07-27 07:37:36,TXN000025
REL000129,account,ACC00007,TRANSFERRED_TO,account,ACC00015,2026-07-27 10:14:33,TXN000026
REL000130,person,P0007,COMMUNICATES_WITH,person,P0019,2026-07-27 11:31:23,CDR000086
REL000131,person,P0014,APPEARS_AT,location,LOC0006,2026-07-27 16:33:30,SURV000017
REL000132,person,P0005,COMMUNICATES_WITH,person,P0004,2026-07-27 19:06:42,CDR000087
REL000133,person,P0020,COMMUNICATES_WITH,person,P0006,2026-07-28 11:39:18,CDR000088
REL000134,person,P0009,COMMUNICATES_WITH,person,P0013,2026-07-28 11:51:35,CDR000089
REL000135,person,P0001,COMMUNICATES_WITH,person,P0004,2026-07-28 11:54:28,CDR000090
REL000136,person,P0007,ASSOCIATED_WITH_CASE,case,CASE0004,2026-07-29 10:05:00,FIR00008
REL000137,person,P0015,ASSOCIATED_WITH_CASE,case,CASE0004,2026-07-29 10:05:00,FIR00008
REL000138,account,ACC00018,TRANSFERRED_TO,account,ACC00015,2026-07-29 12:48:05,TXN000027
REL000139,person,P0004,COMMUNICATES_WITH,person,P0007,2026-07-29 14:18:35,CDR000091
REL000140,person,P0002,COMMUNICATES_WITH,person,P0020,2026-07-29 17:55:51,CDR000092
REL000141,person,P0005,COMMUNICATES_WITH,person,P0002,2026-07-29 18:52:18,CDR000093
REL000142,person,P0001,COMMUNICATES_WITH,person,P0020,2026-07-29 20:29:04,CDR000094
REL000143,person,P0007,APPEARS_AT,location,LOC0002,2026-07-29 21:30:03,SURV000018
REL000144,account,ACC00002,TRANSFERRED_TO,account,ACC00007,2026-07-30 10:13:28,TXN000028
REL000145,person,P0006,COMMUNICATES_WITH,person,P0008,2026-07-30 13:48:28,CDR000095
REL000146,person,P0010,COMMUNICATES_WITH,person,P0009,2026-07-30 16:03:55,CDR000096
REL000147,person,P0002,COMMUNICATES_WITH,person,P0004,2026-07-31 08:50:39,CDR000097
REL000148,person,P0009,COMMUNICATES_WITH,person,P0014,2026-08-01 18:29:04,CDR000098
REL000149,person,P0006,COMMUNICATES_WITH,person,P0007,2026-08-01 21:55:48,CDR000099
REL000150,account,ACC00011,TRANSFERRED_TO,account,ACC00013,2026-08-02 09:43:48,TXN000029
REL000151,person,P0005,COMMUNICATES_WITH,person,P0012,2026-08-02 19:25:48,CDR000100
REL000152,person,P0001,COMMUNICATES_WITH,person,P0002,2026-08-03 09:58:39,CDR000101
REL000153,person,P0004,COMMUNICATES_WITH,person,P0001,2026-08-03 11:23:18,CDR000102
REL000154,account,ACC00014,TRANSFERRED_TO,account,ACC00009,2026-08-03 13:12:28,TXN000030
REL000155,person,P0002,COMMUNICATES_WITH,person,P0018,2026-08-04 09:58:01,CDR000103
REL000156,account,ACC00017,TRANSFERRED_TO,account,ACC00016,2026-08-04 15:30:44,TXN000031
REL000157,account,ACC00005,TRANSFERRED_TO,account,ACC00008,2026-08-04 17:24:47,TXN000032
REL000158,person,P0002,COMMUNICATES_WITH,person,P0001,2026-08-04 20:07:29,CDR000104
REL000159,person,P0009,COMMUNICATES_WITH,person,P0005,2026-08-04 20:23:18,CDR000105
REL000160,person,P0016,COMMUNICATES_WITH,person,P0018,2026-08-05 01:35:00,CDR000106
REL000161,account,ACC00017,TRANSFERRED_TO,account,ACC00016,2026-08-05 06:48:57,TXN000033
REL000162,person,P0018,APPEARS_AT,location,LOC0002,2026-08-05 12:30:24,SURV000020
REL000163,person,P0002,COMMUNICATES_WITH,person,P0006,2026-08-05 12:35:49,CDR000107
REL000164,person,P0017,COMMUNICATES_WITH,person,P0015,2026-08-05 12:58:38,CDR000108
REL000165,person,P0020,COMMUNICATES_WITH,person,P0004,2026-08-05 18:54:13,CDR000109
REL000166,person,P0001,COMMUNICATES_WITH,person,P0004,2026-08-06 11:10:06,CDR000110
REL000167,person,P0017,ASSOCIATED_WITH_CASE,case,CASE0005,2026-08-06 12:20:00,FIR00009
REL000168,person,P0016,ASSOCIATED_WITH_CASE,case,CASE0005,2026-08-06 12:20:00,FIR00009
REL000169,account,ACC00021,TRANSFERRED_TO,account,ACC00012,2026-08-06 13:05:09,TXN000034
REL000170,account,ACC00006,TRANSFERRED_TO,account,ACC00003,2026-08-06 15:26:23,TXN000035
REL000171,person,P0001,COMMUNICATES_WITH,person,P0007,2026-08-06 18:12:36,CDR000111
REL000172,person,P0002,COMMUNICATES_WITH,person,P0005,2026-08-06 21:54:18,CDR000112
REL000173,person,P0009,COMMUNICATES_WITH,person,P0005,2026-08-08 02:20:12,CDR000113
REL000174,person,P0019,COMMUNICATES_WITH,person,P0007,2026-08-08 13:39:22,CDR000114
REL000175,person,P0014,COMMUNICATES_WITH,person,P0011,2026-08-08 16:40:28,CDR000115
REL000176,person,P0016,APPEARS_AT,location,LOC0005,2026-08-08 16:44:55,SURV000021
REL000177,person,P0008,COMMUNICATES_WITH,person,P0004,2026-08-09 09:19:25,CDR000116
REL000178,person,P0010,COMMUNICATES_WITH,person,P0011,2026-08-09 13:44:28,CDR000117
REL000179,account,ACC00005,TRANSFERRED_TO,account,ACC00007,2026-08-09 17:47:13,TXN000036
REL000180,person,P0001,COMMUNICATES_WITH,person,P0004,2026-08-10 10:48:33,CDR000118
REL000181,person,P0004,COMMUNICATES_WITH,person,P0008,2026-08-10 11:56:55,CDR000119
REL000182,person,P0007,APPEARS_AT,location,LOC0006,2026-08-10 14:02:00,SURV000022
REL000183,person,P0012,APPEARS_AT,location,LOC0006,2026-08-10 14:20:30,SURV000023
REL000184,person,P0004,COMMUNICATES_WITH,person,P0001,2026-08-10 19:40:00,CDR000120
REL000185,person,P0007,COMMUNICATES_WITH,person,P0003,2026-08-10 20:58:36,CDR000121
REL000186,person,P0013,COMMUNICATES_WITH,person,P0014,2026-08-11 00:47:01,CDR000122
REL000187,person,P0010,COMMUNICATES_WITH,person,P0005,2026-08-11 08:39:47,CDR000123
REL000188,person,P0004,COMMUNICATES_WITH,person,P0015,2026-08-11 13:48:11,CDR000124
REL000189,person,P0005,COMMUNICATES_WITH,person,P0006,2026-08-11 19:34:41,CDR000125
REL000190,account,ACC00016,TRANSFERRED_TO,account,ACC00008,2026-08-12 02:47:33,TXN000037
REL000191,person,P0012,COMMUNICATES_WITH,person,P0010,2026-08-12 08:56:55,CDR000126
REL000192,person,P0009,COMMUNICATES_WITH,person,P0013,2026-08-12 16:35:28,CDR000127
REL000193,person,P0006,COMMUNICATES_WITH,person,P0003,2026-08-12 16:58:25,CDR000128
REL000194,person,P0001,COMMUNICATES_WITH,person,P0020,2026-08-13 10:22:16,CDR000129
REL000195,person,P0011,COMMUNICATES_WITH,person,P0010,2026-08-13 10:40:04,CDR000130
REL000196,person,P0018,COMMUNICATES_WITH,person,P0017,2026-08-13 11:58:00,CDR000131
REL000197,person,P0011,COMMUNICATES_WITH,person,P0010,2026-08-13 21:52:12,CDR000132
REL000198,account,ACC00018,TRANSFERRED_TO,account,ACC00017,2026-08-14 06:24:59,TXN000038
REL000199,account,ACC00013,TRANSFERRED_TO,account,ACC00010,2026-08-14 10:05:22,TXN000039
REL000200,account,ACC00013,TRANSFERRED_TO,account,ACC00012,2026-08-14 11:12:48,TXN000040
REL000201,account,ACC00013,TRANSFERRED_TO,account,ACC00014,2026-08-14 12:26:09,TXN000041
REL000202,account,ACC00013,TRANSFERRED_TO,account,ACC00009,2026-08-14 13:40:31,TXN000042
REL000203,person,P0009,COMMUNICATES_WITH,person,P0013,2026-08-14 14:16:22,CDR000133
REL000204,person,P0004,COMMUNICATES_WITH,person,P0015,2026-08-14 22:27:11,CDR000134
REL000205,person,P0001,COMMUNICATES_WITH,person,P0009,2026-08-15 20:18:00,CDR000135
REL000206,person,P0012,COMMUNICATES_WITH,person,P0010,2026-08-15 21:51:20,CDR000136
REL000207,person,P0009,COMMUNICATES_WITH,person,P0001,2026-08-16 09:40:00,CDR000137
REL000208,person,P0004,COMMUNICATES_WITH,person,P0011,2026-08-16 10:12:00,CDR000138
REL000209,account,ACC00002,TRANSFERRED_TO,account,ACC00006,2026-08-16 11:23:01,TXN000043
REL000210,person,P0018,COMMUNICATES_WITH,person,P0016,2026-08-16 19:41:20,CDR000139
REL000211,person,P0004,COMMUNICATES_WITH,person,P0018,2026-08-17 11:15:00,CDR000140
REL000212,person,P0011,COMMUNICATES_WITH,person,P0004,2026-08-17 13:31:00,CDR000141
REL000213,person,P0001,COMMUNICATES_WITH,person,P0009,2026-08-17 17:05:00,CDR000142
REL000214,person,P0001,APPEARS_AT,location,LOC0003,2026-08-17 22:05:12,SURV000024
REL000215,person,P0009,APPEARS_AT,location,LOC0003,2026-08-17 22:17:05,SURV000026
REL000216,person,P0005,APPEARS_AT,location,LOC0003,2026-08-17 22:24:30,SURV000027
REL000217,person,P0006,COMMUNICATES_WITH,person,P0002,2026-08-17 23:49:42,CDR000143
REL000218,person,P0001,COMMUNICATES_WITH,person,P0002,2026-08-18 00:26:52,CDR000144
REL000219,person,P0002,COMMUNICATES_WITH,person,P0004,2026-08-18 01:21:02,CDR000145
REL000220,person,P0004,COMMUNICATES_WITH,person,P0006,2026-08-18 02:34:47,CDR000146
REL000221,person,P0004,COMMUNICATES_WITH,person,P0001,2026-08-18 09:55:07,CDR000147
REL000222,person,P0001,COMMUNICATES_WITH,person,P0002,2026-08-18 13:37:45,CDR000148
REL000223,person,P0006,COMMUNICATES_WITH,person,P0016,2026-08-18 13:40:35,CDR000149
REL000224,person,P0004,COMMUNICATES_WITH,person,P0001,2026-08-18 14:45:13,CDR000150
REL000225,person,P0003,COMMUNICATES_WITH,person,P0001,2026-08-18 15:20:00,CDR000151
REL000226,person,P0004,COMMUNICATES_WITH,person,P0002,2026-08-18 17:34:17,CDR000152
REL000227,person,P0004,COMMUNICATES_WITH,person,P0002,2026-08-18 18:11:36,CDR000153
REL000228,person,P0002,COMMUNICATES_WITH,person,P0004,2026-08-18 18:28:02,CDR000154
REL000229,person,P0002,COMMUNICATES_WITH,person,P0004,2026-08-18 18:44:12,CDR000155
REL000230,person,P0010,COMMUNICATES_WITH,person,P0012,2026-08-18 19:06:47,CDR000156
REL000231,person,P0004,COMMUNICATES_WITH,person,P0011,2026-08-18 22:47:00,CDR000157
REL000232,person,P0002,COMMUNICATES_WITH,person,P0001,2026-08-18 23:57:57,CDR000158
REL000233,person,P0004,COMMUNICATES_WITH,person,P0001,2026-08-19 02:09:16,CDR000159
REL000234,person,P0004,COMMUNICATES_WITH,person,P0001,2026-08-19 02:12:00,CDR000160
REL000235,person,P0006,COMMUNICATES_WITH,person,P0004,2026-08-19 02:40:44,CDR000161
REL000236,person,P0001,COMMUNICATES_WITH,person,P0004,2026-08-19 06:19:04,CDR000162
REL000237,person,P0002,COMMUNICATES_WITH,person,P0001,2026-08-19 06:35:45,CDR000163
REL000238,person,P0001,COMMUNICATES_WITH,person,P0006,2026-08-19 06:46:36,CDR000164
REL000239,person,P0002,COMMUNICATES_WITH,person,P0004,2026-08-19 08:26:33,CDR000165
REL000240,account,ACC00001,TRANSFERRED_TO,account,ACC00004,2026-08-19 09:12:04,TXN000044
REL000241,person,P0020,COMMUNICATES_WITH,person,P0004,2026-08-19 10:42:00,CDR000166
REL000242,account,ACC00004,TRANSFERRED_TO,account,ACC00021,2026-08-19 11:40:37,TXN000045
REL000243,person,P0001,COMMUNICATES_WITH,person,P0004,2026-08-19 13:22:09,CDR000167
REL000244,person,P0001,COMMUNICATES_WITH,person,P0003,2026-08-19 14:03:38,CDR000168
REL000245,person,P0020,COMMUNICATES_WITH,person,P0001,2026-08-19 14:33:21,CDR000169
REL000246,person,P0004,COMMUNICATES_WITH,person,P0002,2026-08-19 14:49:48,CDR000170
REL000247,account,ACC00021,TRANSFERRED_TO,account,ACC00011,2026-08-19 15:05:19,TXN000046
REL000248,person,P0013,COMMUNICATES_WITH,person,P0009,2026-08-19 15:15:36,CDR000171
REL000249,person,P0002,COMMUNICATES_WITH,person,P0001,2026-08-19 16:06:54,CDR000172
REL000250,person,P0004,COMMUNICATES_WITH,person,P0002,2026-08-19 16:44:54,CDR000173
REL000251,person,P0001,COMMUNICATES_WITH,person,P0006,2026-08-19 17:03:13,CDR000174
REL000252,person,P0006,COMMUNICATES_WITH,person,P0001,2026-08-19 18:09:25,CDR000175
REL000253,person,P0006,COMMUNICATES_WITH,person,P0002,2026-08-19 18:30:16,CDR000176
REL000254,account,ACC00011,TRANSFERRED_TO,account,ACC00016,2026-08-19 18:30:52,TXN000047
REL000255,person,P0004,COMMUNICATES_WITH,person,P0006,2026-08-19 18:55:53,CDR000177
REL000256,person,P0004,COMMUNICATES_WITH,person,P0006,2026-08-19 19:08:02,CDR000178
REL000257,person,P0011,COMMUNICATES_WITH,person,P0004,2026-08-19 19:20:00,CDR000179
REL000258,person,P0004,COMMUNICATES_WITH,person,P0002,2026-08-19 19:48:53,CDR000180
REL000259,person,P0001,COMMUNICATES_WITH,person,P0004,2026-08-19 20:24:19,CDR000181
REL000260,person,P0006,APPEARS_AT,location,LOC0001,2026-08-19 21:40:15,SURV000028
REL000261,person,P0009,COMMUNICATES_WITH,person,P0001,2026-08-19 21:55:00,CDR000182
REL000262,person,P0004,COMMUNICATES_WITH,person,P0020,2026-08-19 22:15:00,CDR000183
REL000263,person,P0001,COMMUNICATES_WITH,person,P0004,2026-08-19 23:07:02,CDR000184
REL000264,person,P0014,COMMUNICATES_WITH,person,P0011,2026-08-20 11:23:22,CDR000185
REL000265,person,P0016,COMMUNICATES_WITH,person,P0019,2026-08-20 12:28:56,CDR000186
REL000266,person,P0008,COMMUNICATES_WITH,person,P0002,2026-08-20 15:45:45,CDR000187
REL000267,person,P0002,APPEARS_AT,location,LOC0002,2026-08-20 19:55:00,SURV000030
REL000268,person,P0001,APPEARS_AT,location,LOC0002,2026-08-20 20:10:00,SURV000031
REL000269,person,P0018,ASSOCIATED_WITH_CASE,case,CASE0001,2026-08-21 09:40:00,FIR00001
REL000270,person,P0004,ASSOCIATED_WITH_CASE,case,CASE0001,2026-08-21 09:40:00,FIR00001
REL000271,person,P0007,COMMUNICATES_WITH,person,P0006,2026-08-21 12:15:23,CDR000188
REL000272,person,P0006,ASSOCIATED_WITH_CASE,case,CASE0001,2026-08-21 14:10:00,FIR00002
REL000273,person,P0001,COMMUNICATES_WITH,person,P0004,2026-08-21 19:25:35,CDR000189
REL000274,person,P0007,COMMUNICATES_WITH,person,P0005,2026-08-22 09:05:59,CDR000190
REL000275,person,P0001,ASSOCIATED_WITH_CASE,case,CASE0001,2026-08-22 11:00:00,FIR00003
REL000276,person,P0009,ASSOCIATED_WITH_CASE,case,CASE0001,2026-08-22 11:00:00,FIR00003
REL000277,person,P0017,COMMUNICATES_WITH,person,P0016,2026-08-22 15:43:28,CDR000191
REL000278,person,P0001,ASSOCIATED_WITH_CASE,case,CASE0001,2026-08-23 10:15:00,FIR00004
REL000279,person,P0004,ASSOCIATED_WITH_CASE,case,CASE0001,2026-08-23 10:15:00,FIR00004
REL000280,person,P0020,ASSOCIATED_WITH_CASE,case,CASE0001,2026-08-23 16:45:00,FIR00005
